"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"_2.fdm"	".fdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"158"	"0"	"230601991fc66d2d30a6f2345f0fb0e2"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_2.fdm"
"_2.fdt"	".fdt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3141324"	"0"	"5d7d2f3115ee64beeb135ea635d8f51d"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_2.fdt"
"_6_Lucene84_0.doc"	".doc"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"139357"	"0"	"2fc837cc991439bee2b682f21107159f"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_6_Lucene84_0.doc"
"_2.tvm"	".tvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"162"	"0"	"0d2f873d8066bdd2ec587a0d27e9a206"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_2.tvm"
"_2.tvd"	".tvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1639906"	"0"	"9b13262d803be7447a8067839865faeb"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_2.tvd"
"_6_Lucene84_0.pos"	".pos"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"666434"	"0"	"4cd9db7fb2d9068887f43cdf6e1a8930"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_6_Lucene84_0.pos"
"_6_Lucene84_0.tim"	".tim"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2291428"	"0"	"7104d291999393bd751ed437e305cd9a"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_6_Lucene84_0.tim"
"_6_Lucene84_0.tip"	".tip"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"22175"	"0"	"9aebad5c9c797c84f1d33f8b11a52021"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_6_Lucene84_0.tip"
"_1.tvx"	".tvx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"843"	"0"	"2d6c499fa83e94af917791fcbb5dbe47"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.tvx"
"_0.tvx"	".tvx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"961"	"0"	"e1951d3dc7d8fb7b5ad5173503999d03"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.tvx"
